system,dataset,mape_mean_baseline,mae_mean_baseline,rmse_mean_baseline,mape_mean_improved,mae_mean_improved,rmse_mean_improved,mape_difference,mape_improvement_percent,mae_difference,mae_improvement_percent,rmse_difference,rmse_improvement_percent
jump3r,single-channel.wav.csv,0.18935930555904879,0.3237450527333067,0.42660056801506757,0.1465042517505887,0.267450455473268,0.3767801121830599,0.04285505380846008,22.63160697697869,0.056294597260038715,17.38855830683931,0.04982045583200767,11.678478550513324
jump3r,speech.wav.csv,0.1993336499266088,0.8107384984390279,1.024025350847265,0.1432657943436529,0.6512531035844906,0.9154840149949026,0.05606785558295588,28.127642073277187,0.15948539485453728,19.671619783889106,0.10854133585236236,10.599477421389686
jump3r,sweep.wav.csv,0.11927888958213875,0.0694489258692574,0.08811204471580386,0.09411953521998592,0.05704894715920141,0.07974401892944025,0.02515935436215283,21.092881104352838,0.012399978710055985,17.854817126185416,0.008368025786363614,9.497028259137332
kanzi,ambivert.csv,1.4739812700126826,17.12534560616792,27.459509573143258,0.17251901956852222,1.7364583278176304,3.4074957083892548,1.3014622504441604,88.29571154815028,15.388887278350289,89.86030198892908,24.052013864754002,87.59083551979401
kanzi,artificl.csv,0.48080432027181685,0.19955530323861442,0.2921907433206063,0.06163270487394201,0.029043350373430216,0.06165227039301461,0.41917161539787484,87.18133297157173,0.1705119528651842,85.4459641502475,0.2305384729275917,78.89999193938644
kanzi,deepfield.csv,17.6923224680227,19.001366388297004,28.81791427636437,0.16775365962105526,1.4308053788332478,3.388803852697854,17.524568808401643,99.05182793313735,17.570561009463756,92.46998689676083,25.429110423666515,88.24063455738275
kanzi,enwik8.csv,2.7406223381572072,39.71922485182442,61.79488597579703,0.14522151656084112,2.5155210926221274,6.0937907918808625,2.595400821596366,94.7011481830624,37.20370375920229,93.66674173021636,55.701095183916166,90.13868106453405
kanzi,fannie_mae_500k.csv,4.268343805837623,34.89100128109037,53.34144778197005,0.1414355900262529,1.5763856935505691,4.364231869857583,4.12690821581137,96.68640586466306,33.3146155875398,95.48197060654458,48.97721591211246,91.81831005469495
kanzi,large.csv,1.4703460397372174,4.403912495880723,6.823551101191774,0.09747059261240625,0.2778178556251,0.6006543887293493,1.3728754471248112,93.37090793743857,4.126094640255623,93.6915673078209,6.222896712462425,91.19733435242478
kanzi,misc.csv,0.4777566965681671,0.407217809072396,0.6093025940746224,0.081527807872894,0.05700374322351774,0.09045235731266944,0.3962288886952731,82.93528725844631,0.35021406584887826,86.00165760103495,0.518850236761953,85.15477232621275
kanzi,silesia.csv,3.0595615192260084,82.70546635544294,128.38372531822856,0.15652493900294223,4.885148536480508,10.733932554848204,2.903036580223066,94.88407283137295,77.82031781896242,94.09331843256209,117.64979276338035,91.63917971047991
kanzi,vmlinux.csv,28.704695664775976,165.89454008079016,224.898701205241,0.12358372215752775,6.955828392807917,22.517963433115586,28.58111194261845,99.56946513699089,158.93871168798225,95.80707816579108,202.3807377721254,89.98750845939041
lrzip,ambivert.wav.tar.csv,1.591268454701172,14.267197776516259,22.518710659864286,1.647925874365255,14.369700128573474,22.63550291909849,-0.056657419664083,-3.560519250959627,-0.10250235205721481,-0.7184476844214861,-0.11679225923420233,-0.5186454100250258
lrzip,artificl.tar.csv,13.4581076314092,1.2507513209371226,1.4023083001489667,13.205049368960344,1.20630062036978,1.4725881588248435,0.25305826244885665,1.880340604932128,0.04445070056734268,3.5539199378209005,-0.07027985867587683,-5.011726641595933
lrzip,deepfield.tar.csv,1.5827239214805737,13.966337874493119,21.818265958478033,1.6870386010706504,14.475381355324675,22.548383764900944,-0.10431467959007668,-6.5908323096863635,-0.509043480831556,-3.6447885294342472,-0.7301178064229106,-3.3463603744329875
lrzip,enwik8.tar.csv,1.1002046372010343,18.933473008499778,27.328174268358847,1.175916626556193,19.75771796759052,28.50489202015346,-0.07571198935515855,-6.8816279076747895,-0.8242449590907412,-4.353374358316164,-1.1767177517946124,-4.305877663979338
lrzip,fannie_mae_500k.tar.csv,0.11982676918715623,5.198573108680142,7.482273982749443,0.12024379621841827,5.201681767463494,7.541710360252477,-0.000417027031262035,-0.34802493139966467,-0.003108658783352425,-0.059798308465872044,-0.05943637750303399,-0.794362484454137
lrzip,large.tar.csv,0.9778661809256435,2.2399569726489035,3.000734479713881,1.01835436213507,2.3273848223232476,3.12584820592209,-0.04048818120942643,-4.140462365832154,-0.08742784967434414,-3.903103976633742,-0.12511372620820893,-4.169436751369568
lrzip,misc.tar.csv,2.6456732857018608,1.253916821362481,1.4387778741825157,2.724774770188412,1.2822594885814194,1.5270713548227184,-0.07910148448655141,-2.9898432627355525,-0.02834266721893841,-2.2603307281691807,-0.0882934806402027,-6.136699919045479
lrzip,silesia.tar.csv,1.277131896288643,31.864352518420123,46.030810826780204,1.362820338369373,33.27513141329213,47.61423377247631,-0.08568844208073001,-6.709443427866879,-1.4107788948720064,-4.427451943536164,-1.5834229456961069,-3.439919734750554
lrzip,uiq-32.bin.csv,2.0879441629611173,53.33131933243395,77.28833470236755,2.310844099198729,57.15054986683983,82.8498804920574,-0.22289993623761184,-10.675569787340274,-3.8192305344058823,-7.161327681768377,-5.561545789689845,-7.19584114615356
lrzip,uiq2-16.bin.csv,1.889292846151171,29.115821154439725,41.981403097743005,2.0345372819738166,30.253066171774424,43.568001043377585,-0.14524443582264546,-7.6877672044614185,-1.137245017334699,-3.9059348912139003,-1.5865979456345798,-3.7792875620202366
