system,dataset,paired_runs,mape_median_baseline,mape_median_improved,mape_median_difference,mape_p_value,mape_significant_0_05,mape_better,mae_median_baseline,mae_median_improved,mae_median_difference,mae_p_value,mae_significant_0_05,mae_better,rmse_median_baseline,rmse_median_improved,rmse_median_difference,rmse_p_value,rmse_significant_0_05,rmse_better
h2,smallbank-1.csv,30,0.05625898269643277,0.041423057596389055,0.015544236239911233,1.862645149230957e-09,True,improved_v8,1103.9891049746911,789.3029041137495,327.5451734107843,1.862645149230957e-09,True,improved_v8,1331.850947236852,1036.4714911781255,309.1126192446891,1.862645149230957e-09,True,improved_v8
h2,smallbank-10.csv,30,0.04569092579767349,0.02390942011242512,0.02183597076373165,1.862645149230957e-09,True,improved_v8,625.1103477678365,319.5626601397065,301.6974214292777,1.862645149230957e-09,True,improved_v8,755.5927183140233,432.21110463954733,325.8541674450769,1.862645149230957e-09,True,improved_v8
h2,tpcc-2.csv,30,0.041425185118430255,0.03075605411893824,0.010764442361271996,1.862645149230957e-09,True,improved_v8,30.265393972840467,22.449891086281404,7.789116064228262,1.862645149230957e-09,True,improved_v8,37.5093791922392,28.555888627694216,9.029853773707583,1.862645149230957e-09,True,improved_v8
h2,tpcc-8.csv,30,0.20216462076967,0.20262352662495414,0.0008457850822849028,0.013663241639733315,True,improved_v8,107.22467517229873,106.83802967236053,-0.04016141476078161,0.6701805889606476,False,baseline_lr,162.76333280514837,162.64703739772483,0.01572846175953657,0.8552717231214046,False,improved_v8
h2,voter-16.csv,30,0.07561080722292624,0.019241173811315276,0.05650109202166898,1.862645149230957e-09,True,improved_v8,2387.597967158714,620.4893077246443,1764.8254510635104,1.862645149230957e-09,True,improved_v8,2641.5717707356093,837.0767951570385,1813.9709130405972,1.862645149230957e-09,True,improved_v8
h2,voter-2.csv,30,0.07903225917421064,0.018591064098183487,0.06055031203894534,1.862645149230957e-09,True,improved_v8,2487.1413219111373,593.07422958854,1889.378423564027,1.862645149230957e-09,True,improved_v8,2755.553074226829,833.0680785638262,1909.398791935787,1.862645149230957e-09,True,improved_v8
h2,ycsb-2400.csv,30,0.09095383371653888,0.0437619423283304,0.047138139025445835,1.862645149230957e-09,True,improved_v8,1271.8735328948696,614.1485698850495,659.5376058248356,1.862645149230957e-09,True,improved_v8,1562.021263843509,793.6044374411291,771.996000979448,1.862645149230957e-09,True,improved_v8
h2,ycsb-600.csv,30,0.08393469168234857,0.0384368902774521,0.045535324274416804,1.862645149230957e-09,True,improved_v8,1678.1637388506479,788.0464393882157,887.1186056942609,1.862645149230957e-09,True,improved_v8,2068.0836017073634,1044.3015455850982,1015.5213784097125,1.862645149230957e-09,True,improved_v8
jump3r,beethoven.wav.csv,30,0.2575235908813712,0.16887124830142491,0.08872377561269862,1.862645149230957e-09,True,improved_v8,2.2512185842456245,1.685712757766334,0.5657034394152961,1.862645149230957e-09,True,improved_v8,2.8990918467527145,2.471360714500862,0.41763719168428004,1.862645149230957e-09,True,improved_v8
jump3r,dual-channel.wav.csv,30,0.23395476557340156,0.16583688920454903,0.06715561502335939,1.862645149230957e-09,True,improved_v8,0.6137937986636451,0.48332569258935276,0.13009275988648375,1.862645149230957e-09,True,improved_v8,0.8508617297040242,0.7020303766556704,0.14478610254074104,1.862645149230957e-09,True,improved_v8
jump3r,helix.wav.csv,30,0.254775132882823,0.1724781242876694,0.08137923975093825,1.862645149230957e-09,True,improved_v8,1.092143229245117,0.8902558521638554,0.21583152367970182,1.862645149230957e-09,True,improved_v8,1.5841553197662526,1.4359704493826277,0.15044588943050652,3.2391399145126343e-06,True,improved_v8
jump3r,single-channel.wav.csv,30,0.1890952012655604,0.1467511677868818,0.042401711331496464,1.862645149230957e-09,True,improved_v8,0.3227732457905881,0.26678135752607035,0.055566724236638,1.862645149230957e-09,True,improved_v8,0.42486878185342064,0.3746540055277522,0.05034905949385332,1.862645149230957e-09,True,improved_v8
jump3r,speech.wav.csv,30,0.19917627131698895,0.14402479301240775,0.05623436903987547,1.862645149230957e-09,True,improved_v8,0.8135195009632412,0.6511155466630861,0.16120558116941286,1.862645149230957e-09,True,improved_v8,1.024648192279471,0.9163453656756912,0.11027490850798266,1.862645149230957e-09,True,improved_v8
jump3r,sweep.wav.csv,30,0.1192540024834581,0.09446201281318685,0.024672686105299414,1.862645149230957e-09,True,improved_v8,0.06938869041482974,0.056891629918425175,0.01248311931623899,1.862645149230957e-09,True,improved_v8,0.08777179066342035,0.07946296234857902,0.008424634839367541,1.862645149230957e-09,True,improved_v8
kanzi,ambivert.csv,30,1.477975651097554,0.1668998948708107,1.3043421879600734,1.862645149230957e-09,True,improved_v8,17.084225105551088,1.7308400762130747,15.40783163899178,1.862645149230957e-09,True,improved_v8,27.48318445474716,3.311791415232153,24.172815262707875,1.862645149230957e-09,True,improved_v8
kanzi,artificl.csv,30,0.480264824157113,0.06144745322303697,0.41814241460143464,1.862645149230957e-09,True,improved_v8,0.1992796326270605,0.02922815267028149,0.17019736865253451,1.862645149230957e-09,True,improved_v8,0.29199199350287497,0.0612315774192327,0.23129658134248723,1.862645149230957e-09,True,improved_v8
kanzi,deepfield.csv,30,17.669823686248222,0.16449876059247742,17.50569184005596,1.862645149230957e-09,True,improved_v8,18.94097467979394,1.4105511705876042,17.54025340436703,1.862645149230957e-09,True,improved_v8,28.785264285148816,3.3002895156189513,25.444719866761297,1.862645149230957e-09,True,improved_v8
kanzi,enwik8.csv,30,2.711666923307348,0.14614001192284604,2.572533449026841,1.862645149230957e-09,True,improved_v8,39.7551839904984,2.498726468139228,37.19845216960896,1.862645149230957e-09,True,improved_v8,61.7071857183296,5.918527369413817,55.898007319502355,1.862645149230957e-09,True,improved_v8
kanzi,fannie_mae_500k.csv,30,4.2323756385995885,0.1420179626485,4.099012979944609,1.862645149230957e-09,True,improved_v8,34.97797418676112,1.5782033285390364,33.326777748879834,1.862645149230957e-09,True,improved_v8,53.05599667991203,4.341169603690804,48.8353105093604,1.862645149230957e-09,True,improved_v8
kanzi,large.csv,30,1.4682595214935779,0.09660273635549396,1.3711972732127005,1.862645149230957e-09,True,improved_v8,4.415619387187574,0.27614324950225777,4.126834844678276,1.862645149230957e-09,True,improved_v8,6.8024356560168435,0.5813395850446158,6.227195452824791,1.862645149230957e-09,True,improved_v8
kanzi,misc.csv,30,0.4788633333065665,0.08158270119102694,0.3990093116904613,1.862645149230957e-09,True,improved_v8,0.4076834574237927,0.057377209369474026,0.35056273604762367,1.862645149230957e-09,True,improved_v8,0.6070644078684124,0.08949999803150166,0.5180313693820516,1.862645149230957e-09,True,improved_v8
kanzi,silesia.csv,30,3.0162946786098193,0.1559384636952035,2.873943995228493,1.862645149230957e-09,True,improved_v8,82.75633902045723,4.873458904388743,77.69382174128522,1.862645149230957e-09,True,improved_v8,128.09815048985806,10.631191410037028,117.63808064457848,1.862645149230957e-09,True,improved_v8
kanzi,vmlinux.csv,30,28.47321406296902,0.124218271166075,28.34863462215381,1.862645149230957e-09,True,improved_v8,165.70236490812988,6.976131888651551,158.87328242952407,1.862645149230957e-09,True,improved_v8,225.26190837532167,22.568273290073947,202.63256760650756,1.862645149230957e-09,True,improved_v8
lrzip,ambivert.wav.tar.csv,30,1.544664434530927,1.5957508729191474,-0.0491369696432834,0.06666470877826214,False,baseline_lr,14.123601075305565,14.257234471515105,-0.24465328249172646,0.308520769700408,False,baseline_lr,22.51942018866332,22.486965514021577,0.11364303302597101,0.31839608028531075,False,improved_v8
lrzip,artificl.tar.csv,30,13.222518926561225,13.052697856493376,-0.38029398512614865,0.7151329666376114,False,baseline_lr,1.2478089825418333,1.1989993842364532,0.003494690737224082,0.09194962680339813,False,improved_v8,1.393350166325388,1.455033434081204,-0.024656211466066114,0.015460003167390823,True,baseline_lr
lrzip,deepfield.tar.csv,30,1.5277614652116236,1.5637343667840309,-0.03934256258974789,0.023410143330693245,True,baseline_lr,13.647221825651316,14.047158576870787,-0.21482643412369828,0.0635564886033535,False,baseline_lr,21.874367520019184,22.039634537807483,0.0650507829507756,0.7000329215079546,False,improved_v8
lrzip,enwik8.tar.csv,30,1.0974829225568539,1.12608438256511,-0.057948682245639205,0.009301122277975082,True,baseline_lr,18.80312308514911,19.24981891281162,-0.6772216332781458,0.0012321043759584427,True,baseline_lr,27.389615788376222,28.231027100804866,-0.17812968438175858,0.308520769700408,False,baseline_lr
lrzip,fannie_mae_500k.tar.csv,30,0.11705387539250703,0.11867232659882884,0.001348111343731792,0.4161298982799053,False,improved_v8,5.187460683428368,5.118723326658776,0.08687778894251297,0.31839608028531075,False,improved_v8,7.386808329677018,7.4426109089008765,0.044796550575923355,0.40449450351297855,False,improved_v8
lrzip,large.tar.csv,30,0.9439550918216868,1.0071707775176164,-0.03301650530137973,0.00577649287879467,True,baseline_lr,2.2590348081955485,2.3145519874212828,0.011353221757091081,0.3817984350025654,False,improved_v8,3.066943854100076,3.0375305778451267,0.009932284372180078,0.1641840822994709,False,improved_v8
lrzip,misc.tar.csv,30,2.5409673361083978,2.702902424132151,-0.10313547638672282,0.047259049490094185,True,baseline_lr,1.247547095679379,1.2927122331691296,-0.062082977256673555,0.0635564886033535,False,baseline_lr,1.421684953003909,1.5036667343705425,-0.021957837724796092,0.00577649287879467,True,baseline_lr
lrzip,silesia.tar.csv,30,1.2717830845773945,1.3116113950360815,-0.07403657150600829,0.0027663204818964005,True,baseline_lr,31.729528042095133,32.69467039486208,-1.3217283022482018,0.0011314544826745987,True,baseline_lr,45.755411566530455,47.396438454776096,-0.14731213677673693,0.3492113798856735,False,baseline_lr
lrzip,uiq-32.bin.csv,30,2.0428998318268654,2.20997547359839,-0.15374943294969545,0.0027663204818964005,True,baseline_lr,52.13430882931364,54.57360803436048,-2.660278516305816,5.5925920605659485e-05,True,baseline_lr,74.52227333303169,80.64789066362795,-1.7530718600991335,0.023410143330693245,True,baseline_lr
lrzip,uiq2-16.bin.csv,30,1.8896967771026305,1.935084065292877,-0.08580773934895813,0.012047622352838516,True,baseline_lr,29.243618899135832,29.809181128124614,-0.7886672915658988,0.00993151031434536,True,baseline_lr,41.20786256583949,42.606076107333635,0.19523070164608924,0.8078304156661034,False,improved_v8
lrzip,uiq2-4.bin.csv,30,1.2055292383107545,1.2450856542893516,-0.03767352364313892,0.01283373311161995,True,baseline_lr,6.913480422598582,6.99815005523644,-0.017519019489161902,0.19807579927146435,False,baseline_lr,10.40254259112243,10.668723477751088,0.07689559991366846,0.5425279382616282,False,improved_v8
lrzip,uiq2-8.bin.csv,30,1.5058259468977737,1.5281163128003419,-0.0911046421154269,0.0009517744183540344,True,baseline_lr,14.454706327500787,14.759681432971366,-0.4605948262923363,0.00031275488436222076,True,baseline_lr,21.079708277541524,22.30503120145019,-0.06634947571623506,0.3284698575735092,False,baseline_lr
lrzip,vmlinux-5.10.tar.csv,30,0.7693149814608412,0.7673081488907532,-0.022438935711297125,0.052263347432017326,False,baseline_lr,4.522515226697658,4.464136294314962,0.0471932900528369,0.5158484429121017,False,improved_v8,6.698353877748467,6.739857079579865,0.021264659970373412,0.46454504504799843,False,improved_v8
x264,Johnny_1280x720_60_short.y4m.csv,30,0.8802439469584769,0.12771495695714574,0.7539307673606717,1.862645149230957e-09,True,improved_v8,2.58707845130533,0.9792670562082956,1.5927884783981494,1.862645149230957e-09,True,improved_v8,3.3631256329973356,2.45452402068442,0.8823617912090891,1.862645149230957e-09,True,improved_v8
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,30,0.778161132735502,0.12258927254758298,0.6599615525586681,1.862645149230957e-09,True,improved_v8,8.749577003329513,3.3854090455349333,5.338440942891732,1.862645149230957e-09,True,improved_v8,11.331884553575552,8.166125853415075,3.1747290270816992,1.862645149230957e-09,True,improved_v8
