approach,chosen_model,system,dataset,repeat,num_rows,num_features,mape,mae,rmse
improved_v8,cart,batlik,cubus.csv,12,1919,11,0.018954151137918186,0.11804837263431016,0.15256090407858436
baseline_lr,linear_regression,batlik,cubus.csv,13,1919,11,0.039937654319806656,0.24924937308054274,0.3448527996369135
improved_v8,cart,batlik,cubus.csv,13,1919,11,0.019120760085574517,0.11844193441589275,0.15178223237896682
baseline_lr,linear_regression,batlik,cubus.csv,14,1919,11,0.03917296592696695,0.242143143430028,0.3296702197015029
improved_v8,cart,batlik,cubus.csv,14,1919,11,0.019035405342764804,0.11911496436343254,0.15344280091866608
baseline_lr,linear_regression,batlik,cubus.csv,15,1919,11,0.04053579513648217,0.24954239344416626,0.3503401401525764
improved_v8,cart,batlik,cubus.csv,15,1919,11,0.018664678731125706,0.11525708647062816,0.14950973940701492
baseline_lr,linear_regression,batlik,cubus.csv,16,1919,11,0.04049036919627909,0.24960307235607987,0.3381462210896742
improved_v8,cart,batlik,cubus.csv,16,1919,11,0.018334718687214698,0.11343462377707164,0.14578434368066714
baseline_lr,linear_regression,batlik,cubus.csv,17,1919,11,0.039480275526420416,0.2414582253940858,0.3296123948603119
improved_v8,cart,batlik,cubus.csv,17,1919,11,0.019624852056820838,0.12060772290980627,0.15832214696515157
baseline_lr,linear_regression,batlik,cubus.csv,18,1919,11,0.04030948387934501,0.24825724427745635,0.3394900911270379
improved_v8,cart,batlik,cubus.csv,18,1919,11,0.01959086764941275,0.12000277621988148,0.1550257533732075
baseline_lr,linear_regression,batlik,cubus.csv,19,1919,11,0.0389493956261782,0.24140617500941738,0.33344607029637197
improved_v8,cart,batlik,cubus.csv,19,1919,11,0.017762220373569997,0.11029182801188014,0.14371130800546691
baseline_lr,linear_regression,batlik,cubus.csv,20,1919,11,0.04047835983830022,0.2492198503453794,0.3453807263200572
improved_v8,cart,batlik,cubus.csv,20,1919,11,0.019983173733583357,0.12389106529080483,0.158078697670508
baseline_lr,linear_regression,batlik,cubus.csv,21,1919,11,0.03818937579474518,0.23488627232706782,0.3119856565885285
improved_v8,cart,batlik,cubus.csv,21,1919,11,0.019725181940157516,0.12202803610355689,0.1597095440299608
baseline_lr,linear_regression,batlik,cubus.csv,22,1919,11,0.03989947005430969,0.24617961026450075,0.3424814697341839
improved_v8,cart,batlik,cubus.csv,22,1919,11,0.019038364898838093,0.11787890493788167,0.153694118054069
baseline_lr,linear_regression,batlik,cubus.csv,23,1919,11,0.0395826098333713,0.2464954188544527,0.33369000141789085
improved_v8,cart,batlik,cubus.csv,23,1919,11,0.019615600407099615,0.12360060927861172,0.16115208671634632
baseline_lr,linear_regression,batlik,cubus.csv,24,1919,11,0.03946559343349573,0.24251219017453607,0.3361157243830227
improved_v8,cart,batlik,cubus.csv,24,1919,11,0.01825892255407439,0.11079514409201908,0.1416053683783566
baseline_lr,linear_regression,batlik,cubus.csv,25,1919,11,0.03743594614239024,0.23063176260895407,0.32632808720133394
improved_v8,cart,batlik,cubus.csv,25,1919,11,0.020573610716121737,0.1276701663143549,0.1644505256457257
baseline_lr,linear_regression,batlik,cubus.csv,26,1919,11,0.0374095370962772,0.229024135633893,0.32267706681790537
improved_v8,cart,batlik,cubus.csv,26,1919,11,0.01865848972005476,0.11474788107340197,0.14731099957473473
baseline_lr,linear_regression,batlik,cubus.csv,27,1919,11,0.039198278495996434,0.2440519758312552,0.3274906282534983
improved_v8,cart,batlik,cubus.csv,27,1919,11,0.019409721104794334,0.12087974236411742,0.15653249969307118
baseline_lr,linear_regression,batlik,cubus.csv,28,1919,11,0.0394210117282579,0.2429523201508529,0.3348173981534988
improved_v8,cart,batlik,cubus.csv,28,1919,11,0.018780129046154125,0.1160821696628988,0.14749385854364944
baseline_lr,linear_regression,batlik,cubus.csv,29,1919,11,0.039339886261626114,0.24406729725203968,0.3436354573684312
improved_v8,cart,batlik,cubus.csv,29,1919,11,0.01959308065327,0.12131595402260231,0.15304266987215034
baseline_lr,linear_regression,batlik,cubus.csv,30,1919,11,0.039554431754591196,0.24416422572778357,0.3310118799975954
improved_v8,cart,batlik,cubus.csv,30,1919,11,0.01893796551847501,0.11730908609761241,0.15168539750905766
baseline_lr,linear_regression,batlik,flame.csv,1,1919,11,0.03312079743294091,0.059019412949706807,0.07708103278255428
improved_v8,cart,batlik,flame.csv,1,1919,11,0.02087011014827375,0.037546704886548654,0.0484611814004049
baseline_lr,linear_regression,batlik,flame.csv,2,1919,11,0.031837482910608464,0.05761819183561766,0.07584104035605285
improved_v8,cart,batlik,flame.csv,2,1919,11,0.02095157979776278,0.0377074201839827,0.047506084013884314
baseline_lr,linear_regression,batlik,flame.csv,3,1919,11,0.03325629839883272,0.05915244242585512,0.0773674413118347
improved_v8,cart,batlik,flame.csv,3,1919,11,0.0207490382554039,0.03774611538153205,0.047508840595445904
baseline_lr,linear_regression,batlik,flame.csv,4,1919,11,0.032218949061256,0.0588100519382445,0.07941945088343515
improved_v8,cart,batlik,flame.csv,4,1919,11,0.019680809844585034,0.03620471884150614,0.04662869475253638
baseline_lr,linear_regression,batlik,flame.csv,5,1919,11,0.03168579477444494,0.05684893661640906,0.07610062883647727
improved_v8,cart,batlik,flame.csv,5,1919,11,0.021304603754799152,0.03839047719256053,0.048951108107033764
baseline_lr,linear_regression,batlik,flame.csv,6,1919,11,0.03239190689726642,0.058139289373946156,0.07641047379069119
