approach,chosen_model,system,dataset,repeat,num_rows,num_features,mape,mae,rmse
baseline_lr,linear_regression,batlik,frisco.csv,9,1919,11,0.050265633092214254,0.24295249262011678,0.3197800532976627
baseline_lr,linear_regression,batlik,frisco.csv,10,1919,11,0.0504502964873234,0.2438191841916879,0.32510809305708127
baseline_lr,linear_regression,batlik,frisco.csv,11,1919,11,0.04931203019767569,0.2392517608796768,0.325692304072406
baseline_lr,linear_regression,batlik,frisco.csv,12,1919,11,0.05101046780869668,0.24501181676891934,0.3253779863674434
baseline_lr,linear_regression,batlik,frisco.csv,13,1919,11,0.052586925724435706,0.25371808801871193,0.3410547512254887
baseline_lr,linear_regression,batlik,frisco.csv,14,1919,11,0.048334338866424915,0.23566199032486365,0.31970685159986795
baseline_lr,linear_regression,batlik,frisco.csv,15,1919,11,0.04870565654256114,0.23876905137033194,0.32912110851724546
baseline_lr,linear_regression,batlik,frisco.csv,16,1919,11,0.052598492821993664,0.25455322110061385,0.34100298589144284
baseline_lr,linear_regression,batlik,frisco.csv,17,1919,11,0.05029110257371235,0.2430556927460865,0.3303402099567684
baseline_lr,linear_regression,batlik,frisco.csv,18,1919,11,0.05160273369344684,0.2523655924957266,0.3428626106301882
baseline_lr,linear_regression,batlik,frisco.csv,19,1919,11,0.04895653639739432,0.24142386710339617,0.3253610694841605
baseline_lr,linear_regression,batlik,frisco.csv,20,1919,11,0.05123838437214432,0.24507662342118441,0.32775339240261253
baseline_lr,linear_regression,batlik,frisco.csv,21,1919,11,0.05155051305449433,0.24652273342158773,0.33857425409961883
baseline_lr,linear_regression,batlik,frisco.csv,22,1919,11,0.04973470591101096,0.2391059363648014,0.31723342900933843
baseline_lr,linear_regression,batlik,frisco.csv,23,1919,11,0.05045532371808216,0.24755741789870742,0.32778783991939625
baseline_lr,linear_regression,batlik,frisco.csv,24,1919,11,0.05103784754305027,0.24717378618060323,0.322353758475503
baseline_lr,linear_regression,batlik,frisco.csv,25,1919,11,0.049627417737708956,0.24031715716099367,0.3301798380062194
